ID_Pedido,Data_Pedido,Ano,Trimestre,Mes,Mes_Nome,Semana_Ano,Dia_Semana,ID_Cliente,Segmento,Pais,Estado,Cidade,ID_Produto,Categoria,SubCategoria,Valor_Venda
CA-2017-152156,2017-11-08,2017,4,11,November,45,Wednesday,CG-12520,Consumer,United States,Kentucky,Henderson,FUR-BO-10001798,Furniture,Bookcases,261.96
CA-2017-152156,2017-11-08,2017,4,11,November,45,Wednesday,CG-12520,Consumer,United States,Kentucky,Henderson,FUR-CH-10000454,Furniture,Chairs,731.94
CA-2017-138688,2017-06-12,2017,2,6,June,24,Monday,DV-13045,Corporate,United States,California,Los Angeles,OFF-LA-10000240,Office Supplies,Labels,14.62
US-2016-108966,2016-10-11,2016,4,10,October,41,Tuesday,SO-20335,Consumer,United States,Florida,Fort Lauderdale,FUR-TA-10000577,Furniture,Tables,957.5775
US-2016-108966,2016-10-11,2016,4,10,October,41,Tuesday,SO-20335,Consumer,United States,Florida,Fort Lauderdale,OFF-ST-10000760,Office Supplies,Storage,22.368
CA-2015-115812,2015-06-09,2015,2,6,June,24,Tuesday,BH-11710,Consumer,United States,California,Los Angeles,FUR-FU-10001487,Furniture,Furnishings,48.86
CA-2015-115812,2015-06-09,2015,2,6,June,24,Tuesday,BH-11710,Consumer,United States,California,Los Angeles,OFF-AR-10002833,Office Supplies,Art,7.28
CA-2015-115812,2015-06-09,2015,2,6,June,24,Tuesday,BH-11710,Consumer,United States,California,Los Angeles,TEC-PH-10002275,Technology,Phones,907.152
CA-2015-115812,2015-06-09,2015,2,6,June,24,Tuesday,BH-11710,Consumer,United States,California,Los Angeles,OFF-BI-10003910,Office Supplies,Binders,18.504
CA-2015-115812,2015-06-09,2015,2,6,June,24,Tuesday,BH-11710,Consumer,United States,California,Los Angeles,OFF-AP-10002892,Office Supplies,Appliances,114.9
CA-2015-115812,2015-06-09,2015,2,6,June,24,Tuesday,BH-11710,Consumer,United States,California,Los Angeles,FUR-TA-10001539,Furniture,Tables,1706.184
CA-2015-115812,2015-06-09,2015,2,6,June,24,Tuesday,BH-11710,Consumer,United States,California,Los Angeles,TEC-PH-10002033,Technology,Phones,911.424
CA-2018-114412,2018-04-15,2018,2,4,April,15,Sunday,AA-10480,Consumer,United States,North Carolina,Concord,OFF-PA-10002365,Office Supplies,Paper,15.552
CA-2017-161389,2017-12-05,2017,4,12,December,49,Tuesday,IM-15070,Consumer,United States,Washington,Seattle,OFF-BI-10003656,Office Supplies,Binders,407.976
US-2016-118983,2016-11-22,2016,4,11,November,47,Tuesday,HP-14815,Home Office,United States,Texas,Fort Worth,OFF-AP-10002311,Office Supplies,Appliances,68.81
US-2016-118983,2016-11-22,2016,4,11,November,47,Tuesday,HP-14815,Home Office,United States,Texas,Fort Worth,OFF-BI-10000756,Office Supplies,Binders,2.544
CA-2015-105893,2015-11-11,2015,4,11,November,46,Wednesday,PK-19075,Consumer,United States,Wisconsin,Madison,OFF-ST-10004186,Office Supplies,Storage,665.88
CA-2015-167164,2015-05-13,2015,2,5,May,20,Wednesday,AG-10270,Consumer,United States,Utah,West Jordan,OFF-ST-10000107,Office Supplies,Storage,55.5
CA-2015-143336,2015-08-27,2015,3,8,August,35,Thursday,ZD-21925,Consumer,United States,California,San Francisco,OFF-AR-10003056,Office Supplies,Art,8.56
