Data_Pedido,Ano,Trimestre,Mes,Mes_Nome,Semana_Ano,Dia_Semana
2015-01-03,2015,1,1,January,1,Saturday
2015-01-04,2015,1,1,January,1,Sunday
2015-01-05,2015,1,1,January,2,Monday
2015-01-06,2015,1,1,January,2,Tuesday
2015-01-07,2015,1,1,January,2,Wednesday
2015-01-09,2015,1,1,January,2,Friday
2015-01-10,2015,1,1,January,2,Saturday
2015-01-11,2015,1,1,January,2,Sunday
2015-01-13,2015,1,1,January,3,Tuesday
2015-01-14,2015,1,1,January,3,Wednesday
2015-01-15,2015,1,1,January,3,Thursday
2015-01-16,2015,1,1,January,3,Friday
2015-01-18,2015,1,1,January,3,Sunday
2015-01-19,2015,1,1,January,4,Monday
2015-01-20,2015,1,1,January,4,Tuesday
2015-01-23,2015,1,1,January,4,Friday
2015-01-26,2015,1,1,January,5,Monday
2015-01-27,2015,1,1,January,5,Tuesday
2015-01-28,2015,1,1,January,5,Wednesday
2015-01-30,2015,1,1,January,5,Friday
2015-01-31,2015,1,1,January,5,Saturday
2015-02-01,2015,1,2,February,5,Sunday
2015-02-02,2015,1,2,February,6,Monday
2015-02-03,2015,1,2,February,6,Tuesday
2015-02-04,2015,1,2,February,6,Wednesday
2015-02-06,2015,1,2,February,6,Friday
2015-02-07,2015,1,2,February,6,Saturday
2015-02-08,2015,1,2,February,6,Sunday
2015-02-11,2015,1,2,February,7,Wednesday
2015-02-12,2015,1,2,February,7,Thursday
2015-02-14,2015,1,2,February,7,Saturday
2015-02-15,2015,1,2,February,7,Sunday
2015-02-16,2015,1,2,February,8,Monday
2015-02-17,2015,1,2,February,8,Tuesday
2015-02-18,2015,1,2,February,8,Wednesday
2015-02-20,2015,1,2,February,8,Friday
2015-02-21,2015,1,2,February,8,Saturday
2015-02-22,2015,1,2,February,8,Sunday
2015-02-23,2015,1,2,February,9,Monday
2015-02-24,2015,1,2,February,9,Tuesday
2015-02-27,2015,1,2,February,9,Friday
2015-03-01,2015,1,3,March,9,Sunday
2015-03-02,2015,1,3,March,10,Monday
2015-03-03,2015,1,3,March,10,Tuesday
2015-03-04,2015,1,3,March,10,Wednesday
2015-03-05,2015,1,3,March,10,Thursday
2015-03-07,2015,1,3,March,10,Saturday
2015-03-10,2015,1,3,March,11,Tuesday
2015-03-11,2015,1,3,March,11,Wednesday
